date,difficulty,market_price
2017-02-10,422170566883.0,985.34
2017-02-14,422170566883.0,1001.2
2017-02-18,432944392642.632,1054.55
2017-02-22,440779902286.0,1125.0
2017-02-26,440779902286.0,1150.37
2017-03-02,440779902286.0,1224.98
2017-03-06,460769358090.0,1271.04
2017-03-10,460769358090.0,1192.09
2017-03-14,460769358090.0,1240.72
2017-03-18,475705205061.0,1068.3
2017-03-22,475705205061.0,1113.0
2017-03-26,475705205061.0,961.81
2017-03-30,482855238676.823,1039.77
2017-04-03,499635929816.0,1079.99
2017-04-07,499635929816.0,1193.73
2017-04-11,499635929816.0,1209.99
2017-04-15,520808749422.0,1170.36
2017-04-19,520808749422.0,1201.2
2017-04-23,520808749422.0,1233.24
2017-04-27,521839702599.075,1288.02
2017-05-01,521974519553.0,1354.8
2017-05-05,521974519553.0,1537.23
